Time,wsteth,wbtc,sfrxeth,weth
17940148,1931794184969141934630,2.665075331552872e+22,1794551612029466813181,1.7010282538956452e+21
17945552,1894667839989354282776,2.6052980980827367e+22,1759388612095938000971,1.6771648748007853e+21
17950955,1896763570213143892150,2.6019609053158498e+22,1756161756273684176808,1.6683526274000122e+21
17956359,1919115251540043025885,2.6354976131975964e+22,1782583224144829316129,1.6916330670495823e+21
17961762,1888230193751093041682,2.5990802663456253e+22,1757007328092053062825,1.6650199857820585e+21
17967166,1886161578581222277716,2.614019114136581e+22,1762051983002698020071,1.6616329306033522e+21
17437615,2038145156559542830588,,1916258341246565868444,
17443006,2103324436151598044596,,1944485473459557469556,
17448397,1951788649405745257264,,1807658801569533696675,
17453788,1984285563909714644336,,1827699925104222884496,
17459179,2010820834344915414133,,1861222218701441761892,
17464570,1950599875475115325196,,1807878880418610444255,
17469961,1985133012994037857944,,1833331042585023915407,
17475352,1979860079727853945081,,1832805558834065746492,
17480743,1847671351343201171097,,1707536542272218465388,
17486134,1865586183497750126696,,1718524767354624034633,
17491525,1896711511751277377407,,1745931232950131075376,
17496916,1943730657250218671075,,1800323209153164729162,
17502307,1943109552198574641971,,1795453326821589550846,
17507698,1975547990248124313775,,1825401356385396904897,
17513089,1940641737114508364429,,1792761646642474119803,
17518480,1944975242132040090368,,1796427697910840126413,
17523871,2013133161014814211688,,1854498628703162360106,
17529262,2172161652988173497881,,1994435437715055971218,
17534653,2152282749270592031612,,2017277147645138357028,
17540043,2122170759957391346836,,1979829841677335588668,
17545434,2116477246410714140213,,1965103442515778047789,
17550825,2116884053537570533977,,1965090319038088583518,
17556216,2182318223945099995371,,2048628131821894204851,
17561607,2106913618493182069088,2.928130527518245e+22,1950070590041479806342,
17566998,2107931367508300185445,3.037543083613043e+22,1952674727077698121179,1.853819120500842e+21
17572389,2148176826323504404324,3.1655439381451466e+22,1994684189462769920839,1.9193121992043104e+21
17577780,2111773642820229220748,3.0195761573749406e+22,1955423211182311742925,1.8750757374147465e+21
17583171,2090665060421163291886,3.032206428525421e+22,1931179137877806406179,1.8407699678300243e+21
17588562,2100662429233505318306,3.0661787098081116e+22,1931565464655266295802,1.848836716625624e+21
17593953,2215650542907555539929,3.0477068940375908e+22,2098457930666355867844,1.9964710501724072e+21
17599344,2202301336273317049039,3.069672118980151e+22,2076081317710355576157,1.983876329455728e+21
17604735,2149836044504152104469,3.0504997072311954e+22,2041983766559770675292,1.8971454697526287e+21
17610126,2183179606318824488701,3.079285819721717e+22,2012695486123886474535,1.965855267255398e+21
17615517,2245032846733746952057,3.213077571627885e+22,2110341305956810436643,2.0015489028517255e+21
17620908,2212749888504290194638,3.1052696734454216e+22,2038361544121057974323,1.9707568437720706e+21
17626299,2174734326827078655942,3.0802031214992527e+22,1972907009361895908951,1.920437364780589e+21
17631690,2147961437756666032775,3.0567971889086904e+22,1981186833409473713131,1.8972138958415308e+21
17637081,2144780620541850699991,3.028110889014951e+22,1980285454487014415386,1.8925186841670632e+21
17642472,2129033468652854568581,3.0590933023109446e+22,1971053300356441411740,1.8867728755208453e+21
17647862,2097046206451621417534,3.0092884468645363e+22,1940760523860874467326,1.8425324185317005e+21
17653253,2126660063621769561881,3.055397462015964e+22,1964640750751219306369,1.9039763626585356e+21
17658644,2112158378801810678426,3.01669939784505e+22,1960856865331888376180,1.8475440512414513e+21
17664035,2125396816911941704155,3.0461854255101206e+22,1970573330071637038162,1.8869147428134655e+21
17669426,2128413747980328751086,3.0582026022864472e+22,1971361121681308007677,1.874520432991504e+21
17674817,2142778509486442759619,3.0757189606465367e+22,1985601627060348465937,1.9123285567769873e+21
17680208,2098910972739837310126,3.017593962706852e+22,1950374973223607291969,1.851613896990396e+21
17685599,2200433998185638314215,3.1288448075802037e+22,2062359870173457003760,1.96193207859388e+21
17690990,2219848616097892712084,3.1253041477326006e+22,2101438586100873732614,2.0931152631811615e+21
17696381,2190504521016949517655,3.0469375096567563e+22,2024024089423303850918,1.9055378141051675e+21
17701772,2171786491202996506711,3.0275446410693803e+22,2023998313622646739445,1.8977357389393567e+21
17707163,2196704721285325368705,3.0549377230257575e+22,2042746037733599114748,1.9201216316208222e+21
17712554,2150021882838024281202,2.992643400379732e+22,1985474716037115874545,1.884910632680113e+21
17717945,2151788427110353142853,3.0014379888627486e+22,1989986371056010881408,1.8882434090437126e+21
17723336,2159300594730022276890,2.9886491578872023e+22,2000968964198985741948,1.870063136254237e+21
17728727,2150593591174448638711,2.9844677663161212e+22,1995368682713754437550,1.8808896875345504e+21
17734118,2177925264288754685625,3.032933503181582e+22,2022702454697449701149,1.918577939903278e+21
17739509,2149887041971909431140,2.9901200828385154e+22,1996075274378667142140,1.8622485717451735e+21
17744900,2130023675991696806306,2.994205711800266e+22,1995425367056317292892,1.8566839040076887e+21
17750291,2137503195266413908549,2.983664716080025e+22,1978644692953825266188,1.8439772156757876e+21
17755681,2133984430386317948151,2.9938398428533967e+22,1973544208331578227216,1.8974262907456242e+21
17761072,2113980093170336288342,2.976808310056139e+22,1965663734940829154785,1.8655462764868726e+21
17766463,2100041095913143896044,2.924920545997182e+22,1947519733140900724888,1.846650847020446e+21
17771854,2103942938170634091433,2.9433920967956077e+22,1949940421584270937841,1.8711615016143558e+21
17777245,2086027811749813456814,2.923194781862122e+22,1944629402265688788610,1.8496819496540187e+21
17782636,2141334722393236035115,2.948775320378847e+22,1979594274637143249506,1.8891118298016878e+21
17788027,2105531317716395016503,2.9191578247510364e+22,1948946081444279588365,1.831671579082521e+21
17793418,2112821571315689795161,2.9233231817035122e+22,1963260967401183713366,1.8676453135794624e+21
17798809,2114113911043391439268,2.9280048197945887e+22,1967378835545677204069,1.86765147969678e+21
17804200,2124773349183905597801,2.9289272324210427e+22,1963069158580985176670,1.8840950597628875e+21
17809591,2128610424208768864602,2.9714850724073406e+22,1983289633051545424617,1.8796566599453597e+21
17814982,2113540635225961689913,2.914122426660861e+22,1946455473839754538609,1.8596647718129796e+21
17820373,2090461585298108771633,2.8928692003970667e+22,1931166452789031411980,1.8444345538074032e+21
17825764,2098310193266741936241,2.94792693898031e+22,1941303540512754694717,1.8536022314564688e+21
17831155,2092323310374813394832,2.915966085501663e+22,1919508898417519908357,1.8423382709816142e+21
17836546,2083690538630191791950,2.9161927519144612e+22,1925800952972673611194,1.8398281778151938e+21
